recommendation_id,building_id,recommended_action,estimated_retrofit_cost,estimated_annual_savings,payback_period_years,estimated_emissions_reduction_percent,retrofit_priority,implementation_complexity
REC_0550,BLDG_25798,Deep Energy Retrofit,220300.0,69700.0,3.16,43.05,Critical,High
REC_0551,BLDG_24493,Deep Energy Retrofit,162400.0,136600.0,1.19,40.75,Critical,High
REC_0552,BLDG_27687,Solar Panel Installation,65000.0,2900.0,22.41,16.27,Low,Medium
REC_0553,BLDG_22361,Water Efficiency Upgrade,9400.0,4200.0,2.24,2.62,Critical,Low
REC_0554,BLDG_27885,Building Automation System,31500.0,6900.0,4.57,11.36,High,Medium
REC_0555,BLDG_20170,Solar Panel Installation,525000.0,36200.0,14.5,21.75,Low,Medium
REC_0556,BLDG_50725,LED Lighting Retrofit,14700.0,3100.0,4.74,11.56,High,Low
REC_0557,BLDG_50746,LED Lighting Retrofit,10900.0,5500.0,1.98,9.07,Critical,Low
REC_0558,BLDG_276,LED Lighting Retrofit,542500.0,1353200.0,0.4,10.63,Critical,Low
REC_0559,BLDG_50519,Solar Panel Installation,288800.0,19100.0,15.12,26.23,Low,Medium
REC_0560,BLDG_27736,HVAC Upgrade,55600.0,5300.0,10.49,22.83,Medium,Medium
REC_0561,BLDG_641,Water Efficiency Upgrade,23400.0,4900.0,4.78,3.63,High,Low
REC_0562,BLDG_21515,HVAC Upgrade,88200.0,24000.0,3.68,24.07,Critical,Medium
REC_0563,BLDG_21687,Solar Panel Installation,65000.0,2900.0,22.41,20.57,Low,Medium
REC_0564,BLDG_22894,Solar Panel Installation,118200.0,6800.0,17.38,15.06,Low,Medium
REC_0565,BLDG_23462,Insulation Improvement,36300.0,3900.0,9.31,17.86,Medium,Medium
REC_0566,BLDG_50072,Solar Panel Installation,186600.0,11700.0,15.95,18.43,Low,Medium
REC_0567,BLDG_20186,Solar Panel Installation,66600.0,3000.0,22.2,23.37,Low,Medium
REC_0568,BLDG_23858,Water Efficiency Upgrade,9800.0,1800.0,5.44,3.74,High,Low
REC_0569,BLDG_24750,Water Efficiency Upgrade,10900.0,5500.0,1.98,2.84,Critical,Low
REC_0570,BLDG_24249,LED Lighting Retrofit,12200.0,4600.0,2.65,8.33,Critical,Low
REC_0571,BLDG_313,Deep Energy Retrofit,858000.0,418100.0,2.05,33.99,Critical,High
REC_0572,BLDG_21610,Solar Panel Installation,79000.0,3900.0,20.26,18.45,Low,Medium
REC_0573,BLDG_25401,Solar Panel Installation,65000.0,2900.0,22.41,27.0,Low,Medium
REC_0574,BLDG_50046,Solar Panel Installation,214400.0,13700.0,15.65,26.36,Low,Medium
REC_0575,BLDG_23508,Building Automation System,21900.0,17300.0,1.27,10.03,Critical,Medium
REC_0576,BLDG_25187,HVAC Upgrade,47300.0,3400.0,13.91,25.16,Low,Medium
REC_0577,BLDG_120,Solar Panel Installation,249400.0,16300.0,15.3,23.37,Low,Medium
REC_0578,BLDG_26357,LED Lighting Retrofit,8900.0,9300.0,0.96,8.36,Critical,Low
REC_0579,BLDG_50485,Water Efficiency Upgrade,7900.0,2500.0,3.16,2.74,Critical,Low
REC_0580,BLDG_28035,Building Automation System,18300.0,5700.0,3.21,14.97,Critical,Medium
REC_0581,BLDG_20223,Building Automation System,16500.0,4000.0,4.12,11.04,High,Medium
REC_0582,BLDG_19690,Building Automation System,39900.0,17400.0,2.29,11.41,Critical,Medium
REC_0583,BLDG_26907,Solar Panel Installation,94600.0,5000.0,18.92,20.34,Low,Medium
REC_0584,BLDG_50864,Water Efficiency Upgrade,38900.0,27700.0,1.4,3.88,Critical,Low
REC_0585,BLDG_19906,Building Automation System,75100.0,32000.0,2.35,14.55,Critical,Medium
REC_0586,BLDG_50464,Water Efficiency Upgrade,9800.0,4300.0,2.28,4.47,Critical,Low
REC_0587,BLDG_22919,Building Automation System,21200.0,4200.0,5.05,13.83,High,Medium
REC_0588,BLDG_21676,Water Efficiency Upgrade,11500.0,6100.0,1.89,3.04,Critical,Low
REC_0589,BLDG_49736,HVAC Upgrade,55500.0,27300.0,2.03,19.54,Critical,Medium
REC_0590,BLDG_27821,Building Automation System,24700.0,49800.0,0.5,13.99,Critical,Medium
REC_0591,BLDG_20768,Solar Panel Installation,65000.0,2900.0,22.41,19.09,Low,Medium
REC_0592,BLDG_148,Water Efficiency Upgrade,14000.0,3000.0,4.67,2.93,High,Low
REC_0593,BLDG_49829,Solar Panel Installation,131400.0,7700.0,17.06,21.65,Low,Medium
REC_0594,BLDG_24720,Building Automation System,16900.0,6200.0,2.73,14.54,Critical,Medium
REC_0595,BLDG_26139,LED Lighting Retrofit,11500.0,3500.0,3.29,8.12,Critical,Low
REC_0596,BLDG_19501,Insulation Improvement,34900.0,7600.0,4.59,14.15,High,Medium
REC_0597,BLDG_28006,HVAC Upgrade,50300.0,17300.0,2.91,25.35,Critical,Medium
REC_0598,BLDG_622,LED Lighting Retrofit,24400.0,8700.0,2.8,8.78,Critical,Low
REC_0599,BLDG_433,Solar Panel Installation,525000.0,36200.0,14.5,20.59,Low,Medium
REC_0600,BLDG_24626,LED Lighting Retrofit,39700.0,19000.0,2.09,8.77,Critical,Low
REC_0601,BLDG_20009,LED Lighting Retrofit,13400.0,5600.0,2.39,8.25,Critical,Low
REC_0602,BLDG_632,Solar Panel Installation,125400.0,7300.0,17.18,24.89,Low,Medium
REC_0603,BLDG_20169,LED Lighting Retrofit,10100.0,4100.0,2.46,8.23,Critical,Low
REC_0604,BLDG_475,Solar Panel Installation,525000.0,36200.0,14.5,21.08,Low,Medium
REC_0605,BLDG_498,HVAC Upgrade,524700.0,367700.0,1.43,20.83,Critical,Medium
REC_0606,BLDG_21883,HVAC Upgrade,47000.0,10700.0,4.39,24.58,Critical,Medium
REC_0607,BLDG_26713,Water Efficiency Upgrade,20400.0,13700.0,1.49,4.57,Critical,Low
REC_0608,BLDG_21920,HVAC Upgrade,63700.0,34400.0,1.85,22.53,Critical,Medium
REC_0609,BLDG_282,Solar Panel Installation,167400.0,10300.0,16.25,15.26,Low,Medium
REC_0610,BLDG_49730,Building Automation System,126200.0,56900.0,2.22,13.52,Critical,Medium
REC_0611,BLDG_25220,Solar Panel Installation,82600.0,4200.0,19.67,15.9,Low,Medium
REC_0612,BLDG_50184,Water Efficiency Upgrade,44400.0,29300.0,1.52,2.97,Critical,Low
REC_0613,BLDG_24332,HVAC Upgrade,49400.0,10700.0,4.62,24.13,Critical,Medium
REC_0614,BLDG_24288,LED Lighting Retrofit,10500.0,900.0,11.67,9.54,Medium,Low
REC_0615,BLDG_19704,Water Efficiency Upgrade,23400.0,15100.0,1.55,4.38,Critical,Low
REC_0616,BLDG_24556,Building Automation System,46100.0,15300.0,3.01,12.94,Critical,Medium
REC_0617,BLDG_50674,LED Lighting Retrofit,31100.0,22600.0,1.38,8.0,Critical,Low
REC_0618,BLDG_50869,Solar Panel Installation,525000.0,36200.0,14.5,19.6,Low,Medium
REC_0619,BLDG_27234,Solar Panel Installation,65000.0,2900.0,22.41,18.54,Low,Medium
REC_0620,BLDG_51995,LED Lighting Retrofit,9500.0,1700.0,5.59,11.27,High,Low
REC_0621,BLDG_26603,Water Efficiency Upgrade,8100.0,2700.0,3.0,2.07,Critical,Low
REC_0622,BLDG_20747,Solar Panel Installation,65000.0,2900.0,22.41,20.27,Low,Medium
REC_0623,BLDG_22163,Water Efficiency Upgrade,8600.0,1700.0,5.06,4.68,High,Low
REC_0624,BLDG_26123,Water Efficiency Upgrade,8200.0,3600.0,2.28,3.0,Critical,Low
REC_0625,BLDG_23874,Solar Panel Installation,215200.0,13800.0,15.59,27.38,Low,Medium
REC_0626,BLDG_739,Solar Panel Installation,295200.0,19600.0,15.06,25.61,Low,Medium
REC_0627,BLDG_332,Building Automation System,34700.0,18600.0,1.87,14.31,Critical,Medium
REC_0628,BLDG_24248,Deep Energy Retrofit,358200.0,65800.0,5.44,33.45,Critical,High
REC_0629,BLDG_50006,LED Lighting Retrofit,14000.0,3900.0,3.59,9.51,Critical,Low
REC_0630,BLDG_50739,Solar Panel Installation,525000.0,36200.0,14.5,15.38,Low,Medium
REC_0631,BLDG_50186,Solar Panel Installation,310000.0,20700.0,14.98,23.87,Low,Medium
REC_0632,BLDG_750,Water Efficiency Upgrade,53400.0,15500.0,3.45,2.15,Critical,Low
REC_0633,BLDG_26825,LED Lighting Retrofit,9900.0,3900.0,2.54,10.39,Critical,Low
REC_0634,BLDG_57,Building Automation System,40100.0,33700.0,1.19,13.03,Critical,Medium
REC_0635,BLDG_50885,Solar Panel Installation,329400.0,22100.0,14.9,16.41,Low,Medium
REC_0636,BLDG_37,Solar Panel Installation,93800.0,5000.0,18.76,26.8,Low,Medium
REC_0637,BLDG_23459,Solar Panel Installation,101200.0,5500.0,18.4,18.53,Low,Medium
REC_0638,BLDG_21946,Building Automation System,24400.0,10700.0,2.28,14.63,Critical,Medium
REC_0639,BLDG_25185,LED Lighting Retrofit,20800.0,5700.0,3.65,9.77,Critical,Low
REC_0640,BLDG_23065,Water Efficiency Upgrade,10300.0,6200.0,1.66,2.29,Critical,Low
REC_0641,BLDG_1281,HVAC Upgrade,180200.0,164000.0,1.1,25.26,Critical,Medium
REC_0642,BLDG_50045,LED Lighting Retrofit,138400.0,72600.0,1.91,11.35,Critical,Low
REC_0643,BLDG_19668,Water Efficiency Upgrade,10900.0,5900.0,1.85,2.8,Critical,Low
REC_0644,BLDG_86,Solar Panel Installation,137200.0,8100.0,16.94,21.51,Low,Medium
REC_0645,BLDG_217,LED Lighting Retrofit,47900.0,30600.0,1.57,10.85,Critical,Low
REC_0646,BLDG_50253,LED Lighting Retrofit,55400.0,12600.0,4.4,9.24,High,Low
REC_0647,BLDG_21793,Water Efficiency Upgrade,8300.0,1600.0,5.19,3.6,High,Low
REC_0648,BLDG_27701,Water Efficiency Upgrade,9800.0,3900.0,2.51,3.27,Critical,Low
REC_0649,BLDG_20000,Building Automation System,25100.0,9700.0,2.59,11.74,Critical,Medium
REC_0650,BLDG_581,Solar Panel Installation,240800.0,15600.0,15.44,23.23,Low,Medium
REC_0651,BLDG_26218,Water Efficiency Upgrade,11500.0,6300.0,1.83,2.37,Critical,Low
REC_0652,BLDG_49733,Solar Panel Installation,284000.0,18800.0,15.11,25.37,Low,Medium
REC_0653,BLDG_21345,Solar Panel Installation,128000.0,7500.0,17.07,22.98,Low,Medium
REC_0654,BLDG_23857,HVAC Upgrade,119300.0,51900.0,2.3,21.93,Critical,Medium
REC_0655,BLDG_26056,Solar Panel Installation,65000.0,2900.0,22.41,27.79,Low,Medium
REC_0656,BLDG_19903,Window Replacement,87900.0,7000.0,12.56,12.42,Low,Medium
REC_0657,BLDG_24886,Building Automation System,23000.0,12100.0,1.9,15.6,Critical,Medium
REC_0658,BLDG_21398,Insulation Improvement,27900.0,5000.0,5.58,13.56,High,Medium
REC_0659,BLDG_21299,Water Efficiency Upgrade,8600.0,3800.0,2.26,4.92,Critical,Low
REC_0660,BLDG_50471,Building Automation System,20600.0,4200.0,4.9,15.41,High,Medium
REC_0661,BLDG_50513,Solar Panel Installation,109000.0,6100.0,17.87,21.53,Low,Medium
REC_0662,BLDG_20059,Building Automation System,18200.0,4100.0,4.44,12.86,High,Medium
REC_0663,BLDG_52016,Water Efficiency Upgrade,11900.0,5700.0,2.09,3.12,Critical,Low
REC_0664,BLDG_27882,LED Lighting Retrofit,10800.0,2600.0,4.15,8.15,High,Low
REC_0665,BLDG_24725,Insulation Improvement,22000.0,2500.0,8.8,12.11,High,Medium
REC_0666,BLDG_19920,HVAC Upgrade,79900.0,31300.0,2.55,18.42,Critical,Medium
REC_0667,BLDG_23301,Building Automation System,24900.0,16900.0,1.47,12.91,Critical,Medium
REC_0668,BLDG_20316,Building Automation System,22800.0,7400.0,3.08,11.28,Critical,Medium
REC_0669,BLDG_21265,LED Lighting Retrofit,10400.0,1700.0,6.12,10.65,High,Low
REC_0670,BLDG_793,Insulation Improvement,117300.0,29800.0,3.94,15.57,Critical,Medium
REC_0671,BLDG_23295,Solar Panel Installation,70200.0,3300.0,21.27,16.58,Low,Medium
REC_0672,BLDG_50026,Insulation Improvement,34500.0,8800.0,3.92,17.19,Critical,Medium
REC_0673,BLDG_50040,LED Lighting Retrofit,35600.0,9100.0,3.91,11.33,Critical,Low
REC_0674,BLDG_21196,Solar Panel Installation,272200.0,17900.0,15.21,15.54,Low,Medium
REC_0675,BLDG_24868,HVAC Upgrade,44200.0,7200.0,6.14,24.38,High,Medium
REC_0676,BLDG_22486,Building Automation System,18100.0,4700.0,3.85,12.51,Critical,Medium
REC_0677,BLDG_458,LED Lighting Retrofit,24000.0,17400.0,1.38,9.06,Critical,Low
REC_0678,BLDG_19921,Water Efficiency Upgrade,8000.0,2900.0,2.76,4.76,Critical,Low
REC_0679,BLDG_24136,Solar Panel Installation,104800.0,5800.0,18.07,16.96,Low,Medium
REC_0680,BLDG_49895,LED Lighting Retrofit,33600.0,15300.0,2.2,11.63,Critical,Low
REC_0681,BLDG_25076,Water Efficiency Upgrade,13300.0,6900.0,1.93,2.71,Critical,Low
REC_0682,BLDG_24270,Building Automation System,23600.0,10800.0,2.19,10.85,Critical,Medium
REC_0683,BLDG_26821,Solar Panel Installation,93400.0,5000.0,18.68,18.15,Low,Medium
REC_0684,BLDG_26724,Building Automation System,16100.0,5500.0,2.93,12.89,Critical,Medium
REC_0685,BLDG_50870,Solar Panel Installation,476200.0,32700.0,14.56,17.23,Low,Medium
REC_0686,BLDG_21341,LED Lighting Retrofit,34300.0,14600.0,2.35,11.77,Critical,Low
REC_0687,BLDG_20613,LED Lighting Retrofit,9700.0,5800.0,1.67,10.53,Critical,Low
REC_0688,BLDG_23108,LED Lighting Retrofit,12300.0,4000.0,3.08,8.04,Critical,Low
REC_0689,BLDG_26007,LED Lighting Retrofit,11800.0,3200.0,3.69,8.71,Critical,Low
REC_0690,BLDG_26401,LED Lighting Retrofit,10300.0,4000.0,2.58,11.99,Critical,Low
REC_0691,BLDG_563,Solar Panel Installation,144800.0,8700.0,16.64,25.49,Low,Medium
REC_0692,BLDG_19864,Insulation Improvement,28200.0,1400.0,20.14,15.35,Low,Medium
REC_0693,BLDG_19870,LED Lighting Retrofit,13300.0,5100.0,2.61,9.26,Critical,Low
REC_0694,BLDG_50167,LED Lighting Retrofit,35500.0,19000.0,1.87,8.33,Critical,Low
REC_0695,BLDG_20586,LED Lighting Retrofit,12600.0,12700.0,0.99,10.21,Critical,Low
REC_0696,BLDG_22347,LED Lighting Retrofit,12800.0,4100.0,3.12,11.99,Critical,Low
REC_0697,BLDG_715,Solar Panel Installation,175000.0,10900.0,16.06,22.68,Low,Medium
REC_0698,BLDG_23531,LED Lighting Retrofit,9900.0,1700.0,5.82,8.69,High,Low
REC_0699,BLDG_27655,LED Lighting Retrofit,16200.0,4400.0,3.68,8.95,Critical,Low
REC_0700,BLDG_26705,Solar Panel Installation,73800.0,3500.0,21.09,25.91,Low,Medium
REC_0701,BLDG_50337,Building Automation System,21100.0,5800.0,3.64,14.58,Critical,Medium
REC_0702,BLDG_20383,Solar Panel Installation,186400.0,11700.0,15.93,18.36,Low,Medium
REC_0703,BLDG_50306,Water Efficiency Upgrade,20500.0,5200.0,3.94,4.45,Critical,Low
REC_0704,BLDG_21448,Building Automation System,44700.0,10900.0,4.1,11.77,High,Medium
REC_0705,BLDG_19947,Solar Panel Installation,193600.0,12200.0,15.87,16.21,Low,Medium
REC_0706,BLDG_50023,Solar Panel Installation,268200.0,17600.0,15.24,19.51,Low,Medium
REC_0707,BLDG_27569,Solar Panel Installation,155400.0,9500.0,16.36,19.67,Low,Medium
REC_0708,BLDG_22670,Deep Energy Retrofit,888900.0,117100.0,7.59,35.91,High,High
REC_0709,BLDG_26140,Building Automation System,20900.0,6000.0,3.48,15.16,Critical,Medium
REC_0710,BLDG_373,Solar Panel Installation,525000.0,36200.0,14.5,24.03,Low,Medium
REC_0711,BLDG_50889,Solar Panel Installation,525000.0,36200.0,14.5,25.14,Low,Medium
REC_0712,BLDG_27888,Water Efficiency Upgrade,10000.0,4500.0,2.22,3.9,Critical,Low
REC_0713,BLDG_24461,Building Automation System,24300.0,5900.0,4.12,12.04,High,Medium
REC_0714,BLDG_24144,Solar Panel Installation,65000.0,2900.0,22.41,27.59,Low,Medium
REC_0715,BLDG_26269,LED Lighting Retrofit,10200.0,18800.0,0.54,10.35,Critical,Low
REC_0716,BLDG_50160,Solar Panel Installation,525000.0,36200.0,14.5,19.1,Low,Medium
REC_0717,BLDG_25241,LED Lighting Retrofit,49700.0,26500.0,1.88,9.87,Critical,Low
REC_0718,BLDG_40067,Solar Panel Installation,147000.0,8800.0,16.7,18.12,Low,Medium
REC_0719,BLDG_49923,Solar Panel Installation,336400.0,22600.0,14.88,25.51,Low,Medium
REC_0720,BLDG_50155,Water Efficiency Upgrade,8500.0,3600.0,2.36,4.9,Critical,Low
REC_0721,BLDG_455,Building Automation System,146000.0,63700.0,2.29,10.42,Critical,Medium
REC_0722,BLDG_751,LED Lighting Retrofit,108800.0,62500.0,1.74,9.63,Critical,Low
REC_0723,BLDG_756,Solar Panel Installation,130200.0,7600.0,17.13,17.27,Low,Medium
REC_0724,BLDG_21884,Solar Panel Installation,179800.0,11200.0,16.05,26.45,Low,Medium
REC_0725,BLDG_50260,Solar Panel Installation,376000.0,25400.0,14.8,21.02,Low,Medium
REC_0726,BLDG_49873,HVAC Upgrade,358900.0,91700.0,3.91,20.55,Critical,Medium
REC_0727,BLDG_24664,Solar Panel Installation,218400.0,14000.0,15.6,24.06,Low,Medium
REC_0728,BLDG_716,Building Automation System,39200.0,11700.0,3.35,14.98,Critical,Medium
REC_0729,BLDG_22896,Building Automation System,26000.0,7100.0,3.66,11.22,Critical,Medium
REC_0730,BLDG_27145,Solar Panel Installation,525000.0,36200.0,14.5,26.38,Low,Medium
REC_0731,BLDG_27417,Water Efficiency Upgrade,18800.0,11300.0,1.66,4.96,Critical,Low
REC_0732,BLDG_19758,Building Automation System,48400.0,21200.0,2.28,12.2,Critical,Medium
REC_0733,BLDG_19924,HVAC Upgrade,64100.0,60300.0,1.06,21.63,Critical,Medium
REC_0734,BLDG_50487,Solar Panel Installation,72000.0,3400.0,21.18,23.88,Low,Medium
REC_0735,BLDG_19781,Solar Panel Installation,82600.0,4200.0,19.67,15.71,Low,Medium
REC_0736,BLDG_40027,Solar Panel Installation,309200.0,20600.0,15.01,21.13,Low,Medium
REC_0737,BLDG_442,Building Automation System,336000.0,208800.0,1.61,14.84,Critical,Medium
REC_0738,BLDG_22261,LED Lighting Retrofit,14600.0,5300.0,2.75,9.86,Critical,Low
REC_0739,BLDG_21665,Solar Panel Installation,65800.0,3000.0,21.93,19.76,Low,Medium
REC_0740,BLDG_20377,LED Lighting Retrofit,19400.0,26000.0,0.75,10.03,Critical,Low
REC_0741,BLDG_465,Deep Energy Retrofit,1268800.0,779100.0,1.63,42.95,Critical,High
REC_0742,BLDG_749,Solar Panel Installation,225000.0,14500.0,15.52,18.64,Low,Medium
REC_0743,BLDG_24765,Insulation Improvement,22100.0,2800.0,7.89,14.44,High,Medium
REC_0744,BLDG_571,Building Automation System,43300.0,17600.0,2.46,14.44,Critical,Medium
REC_0745,BLDG_49732,Solar Panel Installation,465000.0,31900.0,14.58,17.89,Low,Medium
REC_0746,BLDG_21298,Building Automation System,32000.0,11900.0,2.69,13.13,Critical,Medium
REC_0747,BLDG_49467,Solar Panel Installation,101600.0,5600.0,18.14,25.55,Low,Medium
REC_0748,BLDG_22577,LED Lighting Retrofit,13200.0,1400.0,9.43,11.91,Medium,Low
REC_0749,BLDG_711,Building Automation System,42400.0,15000.0,2.83,10.61,Critical,Medium
REC_0750,BLDG_828,LED Lighting Retrofit,585600.0,1006900.0,0.58,9.87,Critical,Low
REC_0751,BLDG_50307,LED Lighting Retrofit,75200.0,22400.0,3.36,8.17,Critical,Low
REC_0752,BLDG_22334,Solar Panel Installation,507400.0,35000.0,14.5,21.09,Low,Medium
REC_0753,BLDG_50377,Solar Panel Installation,248200.0,16200.0,15.32,17.03,Low,Medium
REC_0754,BLDG_21524,Water Efficiency Upgrade,10700.0,4800.0,2.23,2.8,Critical,Low
REC_0755,BLDG_20890,Deep Energy Retrofit,157400.0,36100.0,4.36,36.86,Critical,High
REC_0756,BLDG_50539,Solar Panel Installation,525000.0,36200.0,14.5,27.71,Low,Medium
REC_0757,BLDG_49707,Building Automation System,24300.0,6300.0,3.86,11.53,Critical,Medium
REC_0758,BLDG_13,Solar Panel Installation,110000.0,6200.0,17.74,17.38,Low,Medium
REC_0759,BLDG_21367,Insulation Improvement,34500.0,7300.0,4.73,13.42,High,Medium
REC_0760,BLDG_26013,Water Efficiency Upgrade,9900.0,3900.0,2.54,2.19,Critical,Low
REC_0761,BLDG_26504,Solar Panel Installation,205800.0,13100.0,15.71,22.27,Low,Medium
REC_0762,BLDG_857,Solar Panel Installation,228200.0,14700.0,15.52,21.68,Low,Medium
REC_0763,BLDG_24854,LED Lighting Retrofit,56600.0,37300.0,1.52,8.96,Critical,Low
REC_0764,BLDG_25726,Building Automation System,36200.0,17600.0,2.06,14.52,Critical,Medium
REC_0765,BLDG_681,Building Automation System,75400.0,18200.0,4.14,10.78,High,Medium
REC_0766,BLDG_42168,LED Lighting Retrofit,11300.0,6900.0,1.64,10.13,Critical,Low
REC_0767,BLDG_417,LED Lighting Retrofit,39700.0,28900.0,1.37,9.76,Critical,Low
REC_0768,BLDG_52023,Building Automation System,21200.0,8500.0,2.49,15.72,Critical,Medium
REC_0769,BLDG_49871,Solar Panel Installation,304400.0,20300.0,15.0,22.8,Low,Medium
REC_0770,BLDG_418,Solar Panel Installation,131600.0,7700.0,17.09,17.09,Low,Medium
REC_0771,BLDG_582,Insulation Improvement,52700.0,17400.0,3.03,12.52,Critical,Medium
REC_0772,BLDG_471,Solar Panel Installation,210800.0,13500.0,15.61,19.17,Low,Medium
REC_0773,BLDG_21631,LED Lighting Retrofit,18800.0,6600.0,2.85,11.86,Critical,Low
REC_0774,BLDG_22678,LED Lighting Retrofit,9200.0,2300.0,4.0,8.41,High,Low
REC_0775,BLDG_235,Building Automation System,81700.0,59100.0,1.38,10.41,Critical,Medium
REC_0776,BLDG_49872,Solar Panel Installation,101000.0,5500.0,18.36,19.36,Low,Medium
REC_0777,BLDG_52018,LED Lighting Retrofit,17400.0,5500.0,3.16,11.61,Critical,Low
REC_0778,BLDG_25181,Solar Panel Installation,65000.0,2900.0,22.41,26.2,Low,Medium
REC_0779,BLDG_24823,HVAC Upgrade,53100.0,5000.0,10.62,19.05,Medium,Medium
REC_0780,BLDG_26465,Solar Panel Installation,69400.0,3200.0,21.69,20.0,Low,Medium
REC_0781,BLDG_700,HVAC Upgrade,108800.0,83900.0,1.3,25.1,Critical,Medium
REC_0782,BLDG_59,HVAC Upgrade,101100.0,28600.0,3.53,25.95,Critical,Medium
REC_0783,BLDG_744,Water Efficiency Upgrade,47500.0,13200.0,3.6,3.45,Critical,Low
REC_0784,BLDG_25242,Water Efficiency Upgrade,8900.0,3900.0,2.28,4.68,Critical,Low
REC_0785,BLDG_25770,LED Lighting Retrofit,14100.0,6300.0,2.24,8.31,Critical,Low
REC_0786,BLDG_260,Solar Panel Installation,346400.0,23300.0,14.87,23.35,Low,Medium
REC_0787,BLDG_50150,Insulation Improvement,108000.0,24300.0,4.44,17.68,High,Medium
REC_0788,BLDG_23454,Water Efficiency Upgrade,11100.0,4700.0,2.36,4.04,Critical,Low
REC_0789,BLDG_21108,Building Automation System,18100.0,10700.0,1.69,12.55,Critical,Medium
REC_0790,BLDG_50930,LED Lighting Retrofit,28900.0,15200.0,1.9,9.69,Critical,Low
REC_0791,BLDG_22351,Solar Panel Installation,293800.0,19500.0,15.07,15.59,Low,Medium
REC_0792,BLDG_22553,LED Lighting Retrofit,8900.0,3300.0,2.7,11.22,Critical,Low
REC_0793,BLDG_21619,Water Efficiency Upgrade,11500.0,5800.0,1.98,4.44,Critical,Low
REC_0794,BLDG_50721,Solar Panel Installation,83800.0,4300.0,19.49,22.45,Low,Medium
REC_0795,BLDG_20811,Solar Panel Installation,152400.0,9200.0,16.57,15.31,Low,Medium
REC_0796,BLDG_464,Solar Panel Installation,236200.0,15300.0,15.44,20.78,Low,Medium
REC_0797,BLDG_25847,Building Automation System,18600.0,6100.0,3.05,12.62,Critical,Medium
REC_0798,BLDG_21730,Building Automation System,39800.0,9100.0,4.37,14.51,High,Medium
REC_0799,BLDG_21417,Building Automation System,23100.0,6300.0,3.67,12.66,Critical,Medium
REC_0800,BLDG_50312,Solar Panel Installation,93600.0,5000.0,18.72,21.19,Low,Medium
REC_0801,BLDG_25956,Deep Energy Retrofit,220800.0,44000.0,5.02,33.09,Critical,High
REC_0802,BLDG_26211,Building Automation System,18100.0,6100.0,2.97,15.11,Critical,Medium
REC_0803,BLDG_22279,Building Automation System,24200.0,6400.0,3.78,15.49,Critical,Medium
REC_0804,BLDG_21295,Water Efficiency Upgrade,8000.0,2700.0,2.96,2.89,Critical,Low
REC_0805,BLDG_50881,Solar Panel Installation,187600.0,11800.0,15.9,27.51,Low,Medium
REC_0806,BLDG_23110,LED Lighting Retrofit,22300.0,4900.0,4.55,9.3,High,Low
REC_0807,BLDG_23708,LED Lighting Retrofit,8700.0,1800.0,4.83,9.8,High,Low
REC_0808,BLDG_25791,Solar Panel Installation,65000.0,2900.0,22.41,16.63,Low,Medium
REC_0809,BLDG_23437,Water Efficiency Upgrade,8300.0,3200.0,2.59,3.11,Critical,Low
REC_0810,BLDG_27982,Water Efficiency Upgrade,8500.0,1600.0,5.31,2.06,High,Low
REC_0811,BLDG_50177,Solar Panel Installation,400000.0,27200.0,14.71,22.8,Low,Medium
REC_0812,BLDG_50321,Solar Panel Installation,196000.0,12400.0,15.81,19.15,Low,Medium
REC_0813,BLDG_49868,LED Lighting Retrofit,43800.0,10500.0,4.17,8.89,High,Low
REC_0814,BLDG_19677,Insulation Improvement,68600.0,13500.0,5.08,13.06,High,Medium
REC_0815,BLDG_27297,Water Efficiency Upgrade,9200.0,4100.0,2.24,2.8,Critical,Low
REC_0816,BLDG_23963,LED Lighting Retrofit,13800.0,1200.0,11.5,9.93,Medium,Low
REC_0817,BLDG_26716,Insulation Improvement,132200.0,31600.0,4.18,15.1,High,Medium
REC_0818,BLDG_24531,Solar Panel Installation,67600.0,3100.0,21.81,15.43,Low,Medium
REC_0819,BLDG_416,LED Lighting Retrofit,20800.0,5900.0,3.53,10.4,Critical,Low
REC_0820,BLDG_24603,Solar Panel Installation,73800.0,3500.0,21.09,19.79,Low,Medium
REC_0821,BLDG_26241,Solar Panel Installation,212400.0,13600.0,15.62,17.6,Low,Medium
REC_0822,BLDG_23212,Solar Panel Installation,74200.0,3600.0,20.61,26.09,Low,Medium
REC_0823,BLDG_444,HVAC Upgrade,193400.0,30800.0,6.28,21.48,High,Medium
REC_0824,BLDG_19,Water Efficiency Upgrade,16100.0,10800.0,1.49,3.87,Critical,Low
REC_0825,BLDG_19851,LED Lighting Retrofit,9500.0,12900.0,0.74,9.56,Critical,Low
REC_0826,BLDG_19445,Solar Panel Installation,149200.0,9000.0,16.58,24.16,Low,Medium
REC_0827,BLDG_28008,Solar Panel Installation,135000.0,8000.0,16.88,19.78,Low,Medium
REC_0828,BLDG_27584,HVAC Upgrade,123900.0,27200.0,4.56,24.37,Critical,Medium
REC_0829,BLDG_23451,Solar Panel Installation,65000.0,2900.0,22.41,23.27,Low,Medium
REC_0830,BLDG_22482,LED Lighting Retrofit,73200.0,33800.0,2.17,11.21,Critical,Low
REC_0831,BLDG_27830,Solar Panel Installation,65000.0,2900.0,22.41,18.05,Low,Medium
REC_0832,BLDG_20805,LED Lighting Retrofit,33300.0,26700.0,1.25,9.81,Critical,Low
